instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.12,0.006,0.018,0.043,119.96,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,2,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.06,0.006,0.016,0.042,119.96,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.07,0.01,0.016,0.045,119.958,0.001
area-26-n157,157,config,no-floor,spatial_term,no-floor,0,3,,0,False,0.0,48.1,1,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.12,0.007,0.018,0.044,119.959,0.001
area-26-n157,157,config,no-floor,spatial_term,no-floor,0,3,,0,False,0.0,48.1,2,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.07,0.007,0.016,0.041,119.961,0.001
area-26-n157,157,config,no-floor,spatial_term,no-floor,0,3,,0,False,0.0,48.1,3,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.07,0.007,0.016,0.042,119.961,0.001
area-26-n157,157,config,feasible-floor-b050,spatial_term,feasible-floor-b050,0,3,,0,False,0.0,48.1,1,3,0,0,4392,0.834,585,6943,7967,8322,0,0.048,4.0,0.189,0.717,0.581,2009,2760,120.12,0.006,0.02,0.047,119.956,0.001
area-26-n157,157,config,feasible-floor-b050,spatial_term,feasible-floor-b050,0,3,,0,False,0.0,48.1,2,3,0,0,4392,0.834,585,6943,7967,8322,0,0.048,4.0,0.189,0.717,0.581,2009,2760,120.05,0.006,0.016,0.044,119.937,0.001
area-26-n157,157,config,feasible-floor-b050,spatial_term,feasible-floor-b050,0,3,,0,False,0.0,48.1,3,3,0,0,4392,0.834,585,6943,7967,8322,0,0.048,4.0,0.189,0.717,0.581,2009,2760,120.07,0.006,0.016,0.042,119.961,0.001
area-26-n157,157,config,feasible-floor-b060,spatial_term,feasible-floor-b060,0,3,,0,False,0.0,48.1,1,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,120.13,0.006,0.019,0.045,119.957,0.001
area-26-n157,157,config,feasible-floor-b060,spatial_term,feasible-floor-b060,0,3,,0,False,0.0,48.1,2,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,120.06,0.007,0.016,0.046,119.957,0.001
area-26-n157,157,config,feasible-floor-b060,spatial_term,feasible-floor-b060,0,3,,0,False,0.0,48.1,3,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,120.06,0.006,0.016,0.041,119.962,0.001
area-26-n157,157,config,feasible-floor-b070,spatial_term,feasible-floor-b070,0,3,,0,False,0.0,48.1,1,3,0,0,4374,0.832,592,6926,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1991,2760,120.12,0.007,0.022,0.045,119.957,0.001
area-26-n157,157,config,feasible-floor-b070,spatial_term,feasible-floor-b070,0,3,,0,False,0.0,48.1,2,3,0,0,4374,0.832,592,6926,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1991,2760,120.06,0.006,0.016,0.043,119.96,0.001
area-26-n157,157,config,feasible-floor-b070,spatial_term,feasible-floor-b070,0,3,,0,False,0.0,48.1,3,3,0,0,4374,0.832,592,6926,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1991,2760,120.06,0.006,0.016,0.042,119.96,0.001
area-26-n157,157,config,feasible-floor-b085,spatial_term,feasible-floor-b085,0,3,,0,False,0.0,48.1,1,3,0,0,4355,0.754,1049,6945,7036,9214,0,0.305,14.0,0.188,0.716,0.581,1972,2760,120.12,0.006,0.018,0.044,119.96,0.001
area-26-n157,157,config,feasible-floor-b085,spatial_term,feasible-floor-b085,0,3,,0,False,0.0,48.1,2,3,0,0,4355,0.754,1049,6945,7036,9214,0,0.305,14.0,0.188,0.716,0.581,1972,2760,120.06,0.006,0.016,0.042,119.961,0.001
area-26-n157,157,config,feasible-floor-b085,spatial_term,feasible-floor-b085,0,3,,0,False,0.0,48.1,3,3,0,0,4355,0.754,1049,6945,7036,9214,0,0.305,14.0,0.188,0.716,0.581,1972,2760,120.06,0.006,0.016,0.042,119.96,0.001
area-26-n157,157,config,feasible-floor-b090,spatial_term,feasible-floor-b090,0,3,,0,False,0.0,48.1,1,3,0,0,4520,0.821,632,6938,7967,8455,0,0.048,4.0,0.193,0.721,0.581,2137,2760,120.12,0.007,0.018,0.042,119.964,0.001
area-26-n157,157,config,feasible-floor-b090,spatial_term,feasible-floor-b090,0,3,,0,False,0.0,48.1,2,3,0,0,4520,0.821,632,6938,7967,8455,0,0.048,4.0,0.193,0.721,0.581,2137,2760,120.07,0.006,0.016,0.041,119.964,0.001
area-26-n157,157,config,feasible-floor-b090,spatial_term,feasible-floor-b090,0,3,,0,False,0.0,48.1,3,3,0,0,4520,0.821,632,6938,7967,8455,0,0.048,4.0,0.193,0.721,0.581,2137,2760,120.06,0.006,0.016,0.041,119.964,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,3,0,0,4425,0.838,570,6976,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2042,2760,120.12,0.007,0.019,0.059,119.944,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,3,0,0,4425,0.838,570,6976,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2042,2760,120.06,0.006,0.016,0.042,119.96,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,3,0,0,4425,0.838,570,6976,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2042,2760,120.04,0.006,0.016,0.042,119.941,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,2,0,False,0.0,48.1,1,2,11,0,3673,0.978,118,10478,10596,10715,3,0.0,0.0,0.173,0.981,0.811,1274,0,120.12,0.006,0.018,0.04,119.962,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,2,0,False,0.0,48.1,2,2,11,0,3673,0.978,118,10478,10596,10715,3,0.0,0.0,0.173,0.981,0.811,1274,0,120.06,0.006,0.016,0.039,119.963,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,2,0,False,0.0,48.1,3,2,11,0,3673,0.978,118,10478,10596,10715,3,0.0,0.0,0.173,0.981,0.811,1274,0,120.07,0.006,0.019,0.043,119.959,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,3,0,False,0.0,48.1,1,3,0,0,4837,0.896,367,7517,7769,8391,0,0.018,2.67,0.204,0.731,0.581,2454,2760,120.12,0.006,0.018,0.041,119.961,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,3,0,False,0.0,48.1,2,3,0,0,4837,0.896,367,7517,7769,8391,0,0.018,2.67,0.204,0.731,0.581,2454,2760,120.06,0.006,0.016,0.04,119.961,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,3,0,False,0.0,48.1,3,3,0,0,4837,0.896,367,7517,7769,8391,0,0.018,2.67,0.204,0.731,0.581,2454,2760,120.06,0.006,0.016,0.039,119.962,0.001
