instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,2,0,0,8378,0.999,2,7187,7189,7191,4,0,0.218,21.5,0.583,0.665,0.278,6354,1975,6403,8400,105.07,0.001,0.004,0.009,104.99,0.0,0.454
battery-n50,50,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,4,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.03,0.001,0.002,0.009,104.992,0.0,0.4368
battery-n50,50,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,6,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.02,0.001,0.002,0.008,104.992,0.0,0.4811
battery-n50,50,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.008,104.992,0.0,0.0251
battery-n50,50,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.008,104.992,0.0,0.0251
battery-n50,50,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.008,104.992,0.0,0.0251
battery-n50,50,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,2,0,0,8383,0.999,2,7189,7192,7194,12,4,0.213,12.5,0.583,0.666,0.278,6359,1975,6408,8400,105.02,0.001,0.002,0.008,104.992,0.0,0.5147
battery-n50,50,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,2,0,0,8384,1.0,1,7191,7192,7193,8,0,0.166,19.0,0.583,0.666,0.278,6360,1975,6409,8400,104.94,0.001,0.002,0.008,104.916,0.0,0.4621
battery-n50,50,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,2,0,0,8378,0.999,3,7186,7189,7192,8,11,0.207,15.0,0.583,0.665,0.278,6354,1975,6403,8400,105.02,0.001,0.002,0.009,104.991,0.0,0.4984
battery-n50,50,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.008,104.99,0.0,0.0251
battery-n50,50,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.008,104.991,0.0,0.0251
battery-n50,50,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.991,0.0,0.0251
battery-n50,50,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,2,0,0,8394,0.999,4,7193,7197,7201,6,5,0.22,18.0,0.583,0.667,0.278,6370,1975,6419,8400,105.02,0.001,0.002,0.008,104.991,0.0,0.4933
battery-n50,50,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,2,0,0,8398,0.999,4,7195,7199,7203,7,6,0.122,7.5,0.583,0.667,0.278,6374,1975,6423,8400,105.02,0.001,0.002,0.009,104.99,0.0,0.517
battery-n50,50,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,2,0,0,8387,0.998,6,7187,7194,7200,6,0,0.191,18.5,0.583,0.666,0.278,6363,1975,6412,8400,105.02,0.001,0.002,0.008,104.991,0.0,0.5011
battery-n50,50,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.99,0.0,0.0251
battery-n50,50,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.008,104.991,0.0,0.0251
battery-n50,50,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,104.97,0.001,0.002,0.009,104.944,0.0,0.0251
battery-n50,50,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,2,0,0,8386,1.0,1,7192,7193,7194,4,1,0.202,18.0,0.583,0.666,0.278,6362,1975,6411,8400,105.02,0.001,0.002,0.008,104.99,0.0,0.4934
battery-n50,50,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,2,0,0,8400,0.996,14,7186,7200,7214,5,9,0.209,17.5,0.583,0.667,0.278,6376,1975,6425,8400,105.02,0.001,0.002,0.008,104.99,0.0,0.4534
battery-n50,50,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,2,0,0,8384,1.0,1,7191,7192,7193,6,2,0.116,7.5,0.583,0.666,0.278,6360,1975,6409,8400,105.02,0.001,0.002,0.009,104.99,0.0,0.5242
battery-n50,50,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.989,0.0,0.0251
battery-n50,50,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.99,0.0,0.0251
battery-n50,50,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,1,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.989,0.0,0.0251
battery-n100,100,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,12,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.03,0.003,0.007,0.021,119.977,0.0,0.0699
battery-n100,100,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,4,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.03,0.003,0.007,0.021,119.979,0.0,0.0656
battery-n100,100,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,12,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.07,0.003,0.007,0.021,120.019,0.0,0.1128
battery-n100,100,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4251,0.962,158,7967,8125,8283,3,4,0.017,3.0,0.262,0.752,0.556,1791,2601,1650,2401,120.03,0.003,0.007,0.02,119.979,0.001,0.0722
battery-n100,100,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4271,0.965,146,7990,8136,8281,0,11,0.017,3.0,0.262,0.754,0.556,1811,2601,1670,2400,120.04,0.003,0.007,0.021,119.978,0.001,0.0766
battery-n100,100,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4292,0.967,138,8008,8146,8283,3,11,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.03,0.003,0.007,0.022,119.978,0.0,0.081
battery-n100,100,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,12,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.03,0.003,0.007,0.022,119.976,0.0,0.0699
battery-n100,100,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,4,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.03,0.003,0.007,0.022,119.977,0.0,0.0656
battery-n100,100,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,12,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.03,0.003,0.007,0.021,119.978,0.0,0.1128
battery-n100,100,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4251,0.962,158,7967,8125,8283,3,4,0.017,3.0,0.262,0.752,0.556,1791,2601,1650,2401,120.16,0.003,0.007,0.021,120.105,0.0,0.0722
battery-n100,100,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4271,0.965,146,7990,8136,8281,0,11,0.017,3.0,0.262,0.754,0.556,1811,2601,1670,2400,120.03,0.003,0.007,0.021,119.981,0.0,0.0766
battery-n100,100,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4292,0.967,138,8008,8146,8283,3,11,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.04,0.003,0.007,0.021,119.981,0.0,0.081
battery-n100,100,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,12,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.04,0.003,0.007,0.021,119.983,0.0,0.0699
battery-n100,100,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,4,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.03,0.003,0.007,0.021,119.98,0.0,0.0656
battery-n100,100,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,12,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.07,0.003,0.007,0.021,119.992,0.0,0.1128
battery-n100,100,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4172,0.953,196,7890,8086,8281,0,2,0.017,3.0,0.258,0.749,0.556,1712,2601,1571,2401,120.04,0.003,0.007,0.021,119.981,0.0,0.0531
battery-n100,100,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4271,0.965,146,7990,8136,8281,0,11,0.017,3.0,0.262,0.754,0.556,1811,2601,1670,2400,120.04,0.003,0.007,0.021,119.981,0.0,0.0766
battery-n100,100,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4292,0.967,138,8008,8146,8283,3,11,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.03,0.003,0.007,0.021,119.975,0.0,0.081
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,12,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.01,0.003,0.007,0.021,119.953,0.0,0.0699
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,4,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.03,0.003,0.007,0.021,119.979,0.0,0.0656
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,12,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.04,0.003,0.007,0.021,119.981,0.0,0.1128
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4289,0.967,136,8008,8144,8281,0,11,0.017,3.0,0.263,0.754,0.556,1829,2601,1688,2400,120.05,0.004,0.007,0.023,119.994,0.0,0.0791
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4271,0.965,146,7990,8136,8281,0,11,0.017,3.0,0.262,0.754,0.556,1811,2601,1670,2400,120.05,0.003,0.007,0.021,119.991,0.0,0.0766
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4292,0.967,138,8008,8146,8283,3,11,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.04,0.003,0.007,0.021,119.98,0.0,0.081
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.01,0.029,0.061,119.939,0.001,0.0549
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8298,0.882,405,7550,8095,8558,2,10,0.238,29.75,0.257,0.748,0.556,4820,4541,3757,4800,120.07,0.009,0.029,0.061,119.933,0.001,0.0635
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.05,0.011,0.027,0.063,119.908,0.001,0.0827
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,7801,0.87,393,7433,7914,8539,3,12,0.079,9.0,0.245,0.736,0.556,4323,4541,3260,4800,120.11,0.01,0.029,0.06,119.941,0.001,0.1034
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.09,0.01,0.026,0.065,119.936,0.001,0.0826
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8390,0.844,556,7377,8138,8737,2,11,0.021,1.0,0.259,0.75,0.556,4912,4541,3849,4801,120.09,0.009,0.026,0.063,119.937,0.002,0.1316
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.012,0.026,0.061,119.94,0.001,0.0549
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8298,0.882,405,7550,8095,8558,2,10,0.238,29.75,0.257,0.748,0.556,4820,4541,3757,4800,120.08,0.009,0.026,0.062,119.94,0.001,0.0635
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.06,119.94,0.001,0.0827
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,7801,0.87,393,7433,7914,8539,3,12,0.079,9.0,0.245,0.736,0.556,4323,4541,3260,4800,120.08,0.009,0.026,0.061,119.938,0.001,0.1034
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.07,0.009,0.026,0.06,119.936,0.001,0.0826
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8370,0.815,713,7296,8062,8949,4,22,0.074,4.25,0.259,0.75,0.556,4892,4541,3829,4800,120.1,0.01,0.026,0.06,119.94,0.001,0.1263
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.009,0.026,0.06,119.94,0.001,0.0549
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8550,0.885,426,7569,8215,8551,6,20,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.08,0.01,0.026,0.061,119.94,0.001,0.076
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.062,119.939,0.001,0.0827
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8321,0.755,951,7316,7658,9690,3,12,0.242,17.25,0.257,0.748,0.556,4843,4541,3780,5040,120.08,0.009,0.026,0.061,119.939,0.001,0.0945
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.08,0.009,0.026,0.061,119.939,0.001,0.0826
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8167,0.866,445,7415,8095,8562,2,17,0.035,4.0,0.254,0.745,0.556,4689,4541,3626,4800,120.07,0.009,0.026,0.061,119.935,0.001,0.1284
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.06,0.009,0.026,0.062,119.923,0.001,0.0549
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8187,0.854,449,7394,8068,8658,2,17,0.151,12.25,0.254,0.745,0.556,4709,4541,3646,4800,120.09,0.01,0.026,0.061,119.939,0.001,0.11
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.061,119.939,0.001,0.0827
battery-n200,200,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8321,0.755,951,7316,7658,9690,3,12,0.242,17.25,0.257,0.748,0.556,4843,4541,3780,5040,120.08,0.009,0.026,0.074,119.927,0.001,0.0945
battery-n200,200,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8112,0.847,575,7378,8010,8714,2,8,0.078,8.0,0.253,0.744,0.556,4634,4541,3571,4800,120.08,0.009,0.026,0.061,119.938,0.001,0.0881
