instance,n,axis,cell,strategy,balance_arm,span_coef,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,112.6,2,3,0,0,3009,0.981,25,2979,2993,3037,5,0.0,0.0,0.334,0.278,0.185,1027,15600,105.02,0.001,0.002,0.008,104.991,0.0
battery-n50,50,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,112.6,3,3,0,0,3009,0.981,25,2979,2993,3037,5,0.0,0.0,0.334,0.278,0.185,1027,15600,105.02,0.001,0.002,0.008,104.991,0.0
battery-n100,100,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,67.3,1,2,0,0,3970,0.984,65,7920,7985,8050,8,0.034,4.0,0.249,0.739,0.556,1510,2400,120.06,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,67.3,2,2,0,0,3970,0.984,65,7920,7985,8050,8,0.034,4.0,0.249,0.739,0.556,1510,2400,120.11,0.003,0.007,0.02,120.05,0.0
battery-n100,100,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,67.3,3,2,0,0,3970,0.984,65,7920,7985,8050,8,0.034,4.0,0.249,0.739,0.556,1510,2400,120.04,0.003,0.007,0.02,119.981,0.0
battery-n200,200,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,59.0,1,4,0,0,8509,0.998,6,8117,8130,8133,4,0.523,52.0,0.262,0.753,0.556,5031,4800,120.08,0.01,0.026,0.062,119.94,0.001
battery-n200,200,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,59.0,2,4,0,0,8509,0.998,6,8117,8130,8133,4,0.523,52.0,0.262,0.753,0.556,5031,4800,120.08,0.009,0.027,0.061,119.94,0.001
battery-n200,200,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,59.0,3,4,0,0,8509,0.998,6,8117,8130,8133,4,0.523,52.0,0.262,0.753,0.556,5031,4800,120.08,0.009,0.027,0.06,119.942,0.001
battery-n400,400,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,46.7,1,7,0,0,15062,0.975,70,8873,9038,9097,3,0.525,53.14,0.239,0.834,0.635,9544,3600,120.24,0.038,0.108,0.199,119.806,0.002
battery-n400,400,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,46.7,2,7,0,0,15068,0.969,109,8815,9052,9101,7,0.525,54.71,0.239,0.834,0.635,9550,3480,120.33,0.035,0.106,0.198,119.805,0.004
battery-n400,400,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,46.7,3,7,0,0,15068,0.969,109,8815,9052,9101,7,0.525,54.71,0.239,0.834,0.635,9550,3480,120.26,0.05,0.11,0.206,119.796,0.002
battery-n800,800,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,35.4,1,12,0,0,24640,0.924,221,9420,10157,10198,13,0.48,69.75,0.204,0.931,0.741,15677,480,120.73,0.16,0.433,0.733,119.208,0.005
battery-n800,800,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,35.4,2,12,0,0,24660,0.924,221,9420,10162,10198,14,0.48,69.75,0.204,0.931,0.741,15697,480,120.8,0.16,0.431,0.757,119.244,0.003
battery-n800,800,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,35.4,3,12,0,0,24660,0.924,221,9420,10162,10198,14,0.48,69.75,0.204,0.931,0.741,15697,480,120.78,0.151,0.429,0.761,119.24,0.003
battery-n1000,1000,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,34.7,1,15,0,0,29554,0.554,1159,5902,10366,10646,23,0.57,74.87,0.198,0.923,0.741,18602,2520,121.13,0.228,0.678,1.134,118.867,0.004
battery-n1000,1000,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,34.7,2,15,0,0,29817,0.557,1159,5902,10366,10598,22,0.57,83.0,0.199,0.925,0.741,18865,2520,121.17,0.232,0.68,1.104,118.9,0.006
battery-n1000,1000,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,34.7,3,15,0,0,30028,0.557,1164,5902,10411,10592,23,0.57,83.13,0.2,0.926,0.741,19076,2520,121.23,0.257,0.686,1.147,118.858,0.005
battery-sparse-n250,250,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,85.8,1,5,0,0,16583,0.991,27,9266,9320,9346,1,0.332,30.8,0.356,0.863,0.556,8173,6002,120.14,0.015,0.042,0.084,119.917,0.003
battery-sparse-n250,250,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,85.8,2,5,0,0,16583,0.991,27,9266,9320,9346,1,0.332,30.8,0.356,0.863,0.556,8173,6002,120.12,0.018,0.043,0.093,119.907,0.001
battery-sparse-n250,250,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,85.8,3,5,0,0,16583,0.991,27,9266,9320,9346,1,0.332,30.8,0.356,0.863,0.556,8173,6002,120.23,0.016,0.048,0.084,120.006,0.002
battery-sparse-n500,500,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,56.9,1,8,0,0,21935,0.99,33,10164,10255,10267,3,0.352,57.12,0.268,0.948,0.694,12473,1680,120.39,0.058,0.168,0.32,119.683,0.002
battery-sparse-n500,500,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,56.9,2,8,0,0,21935,0.99,33,10164,10255,10267,3,0.352,57.12,0.268,0.948,0.694,12473,1680,120.37,0.058,0.169,0.302,119.701,0.004
battery-sparse-n500,500,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,56.9,3,8,0,0,21935,0.99,33,10164,10255,10267,3,0.352,57.12,0.268,0.948,0.694,12473,1680,120.35,0.066,0.169,0.323,119.68,0.002
area-26-n157,157,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,48.1,1,3,0,0,5306,0.992,27,8011,8061,8074,1,0.326,21.67,0.22,0.745,0.581,2923,2760,120.1,0.006,0.017,0.042,119.959,0.001
area-26-n157,157,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,48.1,2,3,0,0,5306,0.992,27,8011,8061,8074,1,0.326,21.67,0.22,0.745,0.581,2923,2760,120.06,0.006,0.017,0.042,119.959,0.001
area-26-n157,157,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,48.1,3,3,0,0,5306,0.992,27,8011,8061,8074,1,0.326,21.67,0.22,0.745,0.581,2923,2760,120.06,0.006,0.017,0.041,119.96,0.001
area-27-n72,72,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,29.8,1,3,0,0,1472,0.999,2,3368,3371,3372,0,0.042,8.0,0.146,0.312,0.267,948,12961,120.04,0.002,0.004,0.014,119.994,0.0
area-27-n72,72,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,29.8,2,3,0,0,1472,0.999,2,3368,3371,3372,0,0.042,8.0,0.146,0.312,0.267,948,12961,119.96,0.002,0.004,0.014,119.916,0.0
area-27-n72,72,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,29.8,3,3,0,0,1472,0.999,2,3368,3371,3372,0,0.042,8.0,0.146,0.312,0.267,948,12961,120.03,0.002,0.004,0.014,119.985,0.0
area-29-n43,43,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,27.6,1,2,0,0,880,0.993,10,3010,3020,3030,0,0.0,0.0,0.146,0.28,0.239,501,9240,94.02,0.001,0.002,0.006,93.999,0.0
area-29-n43,43,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,27.6,2,2,0,0,880,0.993,10,3010,3020,3030,0,0.0,0.0,0.146,0.28,0.239,501,9240,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,27.6,3,2,0,0,880,0.993,10,3010,3020,3030,0,0.0,0.0,0.146,0.28,0.239,501,9240,94.02,0.001,0.002,0.007,93.996,0.0
reference-n1607,1607,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,44.1,1,25,0,0,62955,0.714,708,7675,10552,10748,19,0.31,84.84,0.246,0.947,0.714,35899,11880,122.7,0.59,1.739,2.791,117.211,0.006
reference-n1607,1607,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,44.1,2,25,0,0,62954,0.714,708,7675,10552,10748,19,0.31,84.84,0.246,0.947,0.714,35898,11880,122.7,0.594,1.743,2.757,117.247,0.006
reference-n1607,1607,config,no-floor-span-c100,spatial_term,no-floor,0,100,False,0.0,44.1,3,25,0,0,62955,0.714,708,7675,10552,10748,19,0.31,84.84,0.246,0.947,0.714,35899,11880,123.22,0.587,2.262,2.859,117.145,0.006
battery-n50,50,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,112.6,1,7,0,1,2815,0.898,43,1158,1279,1290,0,0.26,3.86,0.319,0.116,0.079,1001,44400,105.07,0.001,0.005,0.009,104.991,0.0
battery-n50,50,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,112.6,2,7,0,1,2815,0.898,43,1158,1279,1290,0,0.26,3.86,0.319,0.116,0.079,1001,44400,105.03,0.001,0.002,0.008,104.992,0.0
battery-n50,50,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,112.6,3,7,0,1,2815,0.898,43,1158,1279,1290,0,0.26,3.86,0.319,0.116,0.079,1001,44400,105.03,0.001,0.002,0.008,104.991,0.0
battery-n100,100,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,67.3,1,5,0,0,3927,0.972,35,3125,3204,3216,0,0.225,11.2,0.247,0.295,0.222,1543,24000,120.05,0.002,0.007,0.02,119.98,0.0
battery-n100,100,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,67.3,2,5,0,0,3927,0.972,35,3125,3204,3216,0,0.225,11.2,0.247,0.295,0.222,1543,24000,120.04,0.003,0.007,0.021,119.98,0.0
battery-n100,100,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,67.3,3,5,0,0,3927,0.972,35,3125,3204,3216,0,0.225,11.2,0.247,0.295,0.222,1543,24000,120.04,0.003,0.007,0.021,119.981,0.0
battery-n200,200,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,59.0,1,6,0,0,8052,0.992,15,5311,5348,5354,2,0.507,23.67,0.251,0.494,0.37,4610,19201,120.08,0.009,0.026,0.061,119.938,0.001
battery-n200,200,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,59.0,2,6,0,0,8052,0.992,15,5311,5348,5354,2,0.507,23.67,0.251,0.494,0.37,4610,19201,120.08,0.009,0.026,0.06,119.941,0.001
battery-n200,200,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,59.0,3,6,0,0,8052,0.992,15,5311,5348,5354,2,0.507,23.67,0.251,0.494,0.37,4610,19201,120.08,0.009,0.026,0.06,119.94,0.001
battery-n400,400,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,46.7,1,8,0,0,15461,0.98,53,7846,7940,8003,5,0.628,59.5,0.244,0.734,0.556,9958,9600,120.19,0.036,0.107,0.2,119.76,0.002
battery-n400,400,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,46.7,2,8,0,0,15461,0.98,53,7846,7940,8003,5,0.628,59.5,0.244,0.734,0.556,9958,9600,120.24,0.034,0.105,0.196,119.803,0.002
battery-n400,400,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,46.7,3,8,0,0,15554,0.972,75,7794,7972,8021,10,0.628,57.62,0.245,0.736,0.556,10051,9600,120.22,0.035,0.105,0.201,119.8,0.002
battery-n800,800,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,35.4,1,13,0,0,26877,0.883,343,8602,9657,9741,49,0.404,83.54,0.219,0.875,0.684,17926,1921,120.74,0.144,0.427,0.74,119.26,0.003
battery-n800,800,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,35.4,2,13,0,0,26889,0.887,342,8602,9658,9698,46,0.426,78.46,0.219,0.875,0.684,17938,1801,120.75,0.141,0.424,0.741,119.26,0.003
battery-n800,800,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,35.4,3,13,0,0,26888,0.887,342,8602,9658,9698,49,0.426,83.23,0.219,0.875,0.684,17937,1801,120.74,0.141,0.437,0.728,119.275,0.003
battery-n1000,1000,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,34.7,1,15,0,0,31080,0.914,315,9467,10261,10360,22,0.564,98.07,0.206,0.933,0.741,20128,960,121.1,0.222,0.676,1.096,118.904,0.004
battery-n1000,1000,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,34.7,2,15,0,0,31080,0.914,315,9467,10261,10360,22,0.564,98.07,0.206,0.933,0.741,20128,960,121.12,0.223,0.666,1.083,118.918,0.004
battery-n1000,1000,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,34.7,3,15,0,0,31096,0.914,316,9467,10261,10360,22,0.564,98.07,0.206,0.933,0.741,20144,960,121.15,0.224,0.678,1.118,118.902,0.004
battery-sparse-n250,250,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,85.8,1,6,0,0,17518,0.967,88,7737,7942,8000,3,0.298,18.0,0.369,0.733,0.463,9142,13201,120.12,0.015,0.042,0.085,119.915,0.001
battery-sparse-n250,250,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,85.8,2,6,0,0,17518,0.967,88,7737,7942,8000,3,0.298,18.0,0.369,0.733,0.463,9142,13201,120.11,0.014,0.04,0.084,119.917,0.001
battery-sparse-n250,250,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,85.8,3,6,0,0,17518,0.967,88,7737,7942,8000,3,0.298,18.0,0.369,0.733,0.463,9142,13201,120.11,0.014,0.041,0.088,119.912,0.001
battery-sparse-n500,500,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,56.9,1,8,0,0,22594,0.972,92,10087,10364,10375,9,0.408,70.38,0.274,0.956,0.694,13132,1800,120.35,0.055,0.164,0.303,119.703,0.002
battery-sparse-n500,500,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,56.9,2,8,0,0,22594,0.972,92,10087,10364,10375,9,0.408,70.38,0.274,0.956,0.694,13132,1800,120.33,0.055,0.165,0.297,119.705,0.002
battery-sparse-n500,500,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,56.9,3,8,0,0,22594,0.972,92,10087,10364,10375,9,0.408,70.38,0.274,0.956,0.694,13132,1800,120.32,0.054,0.165,0.305,119.695,0.002
area-26-n157,157,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,48.1,1,7,0,0,6148,0.982,25,3533,3580,3598,1,0.287,17.57,0.246,0.33,0.249,3827,31560,120.06,0.005,0.016,0.042,119.959,0.001
area-26-n157,157,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,48.1,2,7,0,0,6148,0.982,25,3533,3580,3598,1,0.287,17.57,0.246,0.33,0.249,3827,31560,120.06,0.006,0.017,0.042,119.957,0.001
area-26-n157,157,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,48.1,3,7,0,0,6148,0.982,25,3533,3580,3598,1,0.287,17.57,0.246,0.33,0.249,3827,31560,120.06,0.006,0.018,0.042,119.958,0.001
area-27-n72,72,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,29.8,1,7,0,0,947,0.83,76,1198,1394,1443,0,0.06,3.43,0.099,0.127,0.114,454,41760,120.03,0.001,0.004,0.014,119.985,0.0
area-27-n72,72,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,29.8,2,7,0,0,947,0.83,76,1198,1394,1443,0,0.06,3.43,0.099,0.127,0.114,454,41760,120.03,0.002,0.004,0.014,119.986,0.0
area-27-n72,72,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,29.8,3,7,0,0,947,0.83,76,1198,1394,1443,0,0.06,3.43,0.099,0.127,0.114,454,41760,120.03,0.002,0.004,0.015,119.984,0.0
area-29-n43,43,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,27.6,1,6,0,0,776,0.936,21,961,988,1027,0,0.021,0.5,0.131,0.091,0.08,434,38040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,27.6,2,6,0,0,776,0.936,21,961,988,1027,0,0.021,0.5,0.131,0.091,0.08,434,38040,94.03,0.001,0.002,0.012,93.988,0.0
area-29-n43,43,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,27.6,3,6,0,0,776,0.936,21,961,988,1027,0,0.021,0.5,0.131,0.091,0.08,434,38040,94.02,0.001,0.002,0.006,93.994,0.0
reference-n1607,1607,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,44.1,1,25,0,0,65078,0.715,622,7675,10548,10736,24,0.31,131.56,0.252,0.955,0.714,38022,10080,122.7,0.584,1.754,2.754,117.248,0.006
reference-n1607,1607,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,44.1,2,25,0,0,64997,0.715,620,7675,10548,10736,24,0.31,131.56,0.252,0.955,0.714,37941,10080,122.7,0.584,1.757,2.737,117.267,0.006
reference-n1607,1607,config,no-floor-span-c1000,spatial_term,no-floor,0,1000,False,0.0,44.1,3,25,0,0,65078,0.715,622,7675,10548,10736,23,0.31,131.56,0.252,0.955,0.714,38022,10080,122.71,0.582,1.775,2.844,117.16,0.006
battery-n50,50,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,112.6,1,1,0,0,3333,1.0,0,9333,9333,9333,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.08,0.001,0.005,0.009,105.014,0.0
battery-n50,50,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,112.6,2,1,0,0,3333,1.0,0,9333,9333,9333,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.009,104.993,0.0
battery-n50,50,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,112.6,3,1,0,0,3333,1.0,0,9333,9333,9333,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.008,104.991,0.0
battery-n100,100,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,67.3,1,2,0,0,3994,0.975,102,7895,7997,8099,3,0.02,3.0,0.25,0.74,0.556,1534,2400,120.04,0.003,0.008,0.021,119.98,0.0
battery-n100,100,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,67.3,2,2,0,0,3994,0.975,102,7895,7997,8099,3,0.02,3.0,0.25,0.74,0.556,1534,2400,120.06,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,67.3,3,2,0,0,3994,0.975,102,7895,7997,8099,3,0.02,3.0,0.25,0.74,0.556,1534,2400,120.04,0.003,0.007,0.02,119.981,0.001
battery-n200,200,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,59.0,1,4,0,1,7035,0.115,3811,1168,9856,10154,14,0.08,4.75,0.227,0.718,0.556,3557,6600,120.1,0.011,0.028,0.062,119.938,0.001
battery-n200,200,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,59.0,2,4,0,1,7035,0.115,3811,1168,9856,10154,14,0.08,4.75,0.227,0.718,0.556,3557,6600,120.09,0.009,0.027,0.06,119.94,0.001
battery-n200,200,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,59.0,3,4,0,1,7035,0.115,3811,1168,9856,10154,14,0.08,4.75,0.227,0.718,0.556,3557,6600,120.1,0.009,0.027,0.061,119.945,0.001
battery-n400,400,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,46.7,1,6,0,0,11758,0.828,658,8737,10332,10548,22,0.38,35.5,0.197,0.922,0.741,6226,960,120.25,0.038,0.109,0.2,119.799,0.002
battery-n400,400,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,46.7,2,6,0,0,11758,0.828,658,8737,10332,10548,22,0.38,35.5,0.197,0.922,0.741,6226,960,120.25,0.037,0.109,0.2,119.802,0.002
battery-n400,400,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,46.7,3,6,0,0,11758,0.828,658,8737,10332,10548,22,0.38,35.5,0.197,0.922,0.741,6226,960,120.27,0.038,0.109,0.215,119.785,0.001
battery-n800,800,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,35.4,1,12,0,0,18915,0.374,1724,3961,10104,10582,45,0.4,43.33,0.165,0.887,0.741,9952,3600,120.81,0.163,0.434,0.732,119.27,0.003
battery-n800,800,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,35.4,2,12,0,0,18915,0.374,1724,3961,10104,10582,45,0.4,43.33,0.165,0.887,0.741,9952,3600,120.8,0.152,0.436,0.724,119.279,0.003
battery-n800,800,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,35.4,3,12,0,0,18915,0.374,1724,3961,10104,10582,45,0.4,43.33,0.165,0.887,0.741,9952,3600,120.84,0.153,0.458,0.733,119.269,0.003
battery-n1000,1000,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,34.7,1,15,0,0,24313,0.474,1357,5017,9971,10580,54,0.51,42.4,0.168,0.891,0.741,13361,3600,121.25,0.242,0.672,1.123,118.953,0.004
battery-n1000,1000,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,34.7,2,15,0,0,24313,0.474,1357,5017,9971,10580,54,0.51,42.4,0.168,0.891,0.741,13361,3600,121.27,0.237,0.677,1.094,119.02,0.004
battery-n1000,1000,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,34.7,3,15,0,0,24313,0.474,1357,5017,9971,10580,54,0.51,42.4,0.168,0.891,0.741,13361,3600,121.35,0.238,0.7,1.132,119.017,0.004
battery-sparse-n250,250,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,85.8,1,5,0,0,14498,0.689,1114,6731,9232,9770,9,0.07,2.6,0.326,0.824,0.556,6088,6000,120.12,0.014,0.042,0.084,119.916,0.001
battery-sparse-n250,250,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,85.8,2,5,0,0,14498,0.689,1114,6731,9232,9770,9,0.07,2.6,0.326,0.824,0.556,6088,6000,120.11,0.014,0.042,0.085,119.914,0.001
battery-sparse-n250,250,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,85.8,3,5,0,0,14498,0.689,1114,6731,9232,9770,9,0.07,2.6,0.326,0.824,0.556,6088,6000,120.12,0.015,0.041,0.086,119.916,0.001
battery-sparse-n500,500,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,56.9,1,8,0,0,19646,0.816,578,8571,10049,10502,18,0.14,23.25,0.247,0.922,0.694,10184,1320,120.36,0.061,0.177,0.302,119.698,0.002
battery-sparse-n500,500,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,56.9,2,8,0,0,19646,0.816,578,8571,10049,10502,18,0.14,23.25,0.247,0.922,0.694,10184,1320,120.37,0.059,0.17,0.298,119.702,0.002
battery-sparse-n500,500,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,56.9,3,8,0,0,19737,0.885,432,9291,10038,10502,19,0.14,24.62,0.248,0.923,0.694,10275,1200,120.37,0.06,0.182,0.3,119.7,0.002
area-26-n157,157,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,48.1,1,3,0,0,4186,0.791,766,6890,7421,8715,2,0.03,3.67,0.182,0.711,0.581,1803,2760,120.06,0.006,0.017,0.042,119.96,0.001
area-26-n157,157,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,48.1,2,3,0,0,4186,0.791,766,6890,7421,8715,2,0.03,3.67,0.182,0.711,0.581,1803,2760,120.06,0.006,0.017,0.041,119.959,0.001
area-26-n157,157,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,48.1,3,3,0,0,4186,0.791,766,6890,7421,8715,2,0.03,3.67,0.182,0.711,0.581,1803,2760,120.06,0.006,0.017,0.041,119.958,0.001
area-27-n72,72,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,29.8,1,1,0,0,1456,1.0,0,10096,10096,10096,1,0.0,0.0,0.144,0.935,0.8,917,0,120.03,0.002,0.004,0.014,119.986,0.0
area-27-n72,72,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,29.8,2,1,0,0,1456,1.0,0,10096,10096,10096,1,0.0,0.0,0.144,0.935,0.8,917,0,120.03,0.002,0.004,0.015,119.984,0.0
area-27-n72,72,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,29.8,3,1,0,0,1456,1.0,0,10096,10096,10096,1,0.0,0.0,0.144,0.935,0.8,917,0,120.03,0.002,0.004,0.014,119.986,0.0
area-29-n43,43,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,27.6,1,1,0,0,956,1.0,0,6116,6116,6116,5,0.0,0.0,0.156,0.566,0.478,568,2040,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,27.6,2,1,0,0,956,1.0,0,6116,6116,6116,5,0.0,0.0,0.156,0.566,0.478,568,2040,94.02,0.001,0.002,0.006,93.992,0.0
area-29-n43,43,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,27.6,3,1,0,0,956,1.0,0,6116,6116,6116,5,0.0,0.0,0.156,0.566,0.478,568,2040,94.02,0.001,0.002,0.006,93.993,0.0
reference-n1607,1607,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,44.1,1,25,0,1,49701,0.011,2033,120,10297,10737,51,0.32,63.56,0.205,0.898,0.714,22645,9720,122.81,0.639,1.748,2.824,117.179,0.006
reference-n1607,1607,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,44.1,2,25,0,1,49701,0.011,2033,120,10297,10737,51,0.32,63.56,0.205,0.898,0.714,22645,9720,122.98,0.639,1.867,2.885,117.118,0.008
reference-n1607,1607,config,no-floor+reseq,spatial_term,no-floor,0,0,True,0.0,44.1,3,25,0,1,49701,0.011,2033,120,10297,10737,51,0.32,63.56,0.205,0.898,0.714,22645,9720,122.94,0.662,1.82,2.894,117.109,0.007
