instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,actual+reseq,spatial_term,actual,0,True,0.0,27.6,1,1,0,1024,1.0,0,6,0.0,0.0,0.166,0.573,0.478,636,2040,94.06,0.001,0.006,0.009,93.998,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,False,0.0,44.1,1,25,0,60566,0.833,631,89,0.348,95.2,0.239,0.939,0.714,33510,9240,122.75,0.6,1.703,2.819,117.188,0.009
reference-n1607,1607,config,actual,spatial_term,actual,0,False,0.0,44.1,2,25,0,60566,0.833,631,88,0.348,95.2,0.239,0.939,0.714,33510,9240,122.63,0.609,1.662,2.655,117.351,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,False,0.0,44.1,3,25,0,60566,0.833,631,89,0.348,95.2,0.239,0.939,0.714,33510,9240,122.65,0.588,1.669,2.669,117.337,0.006
reference-n1607,1607,config,actual+reseq,spatial_term,actual,0,True,0.0,44.1,1,25,0,58818,0.829,632,64,0.35,95.2,0.234,0.932,0.714,31762,9240,122.65,0.559,1.661,2.726,117.279,0.006
reference-n1607,1607,config,actual+reseq,spatial_term,actual,0,True,0.0,44.1,2,25,0,58818,0.829,632,64,0.35,95.2,0.234,0.932,0.714,31762,9240,122.76,0.603,1.703,2.751,117.255,0.007
reference-n1607,1607,config,actual+reseq,spatial_term,actual,0,True,0.0,44.1,3,25,0,58818,0.829,632,64,0.35,95.2,0.234,0.932,0.714,31762,9240,122.72,0.604,1.675,2.723,117.284,0.006
reference-n1607,1607,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,44.1,1,25,0,60400,0.837,567,6,0.317,66.28,0.239,0.938,0.714,33344,8640,122.57,0.56,1.677,2.744,117.181,0.006
reference-n1607,1607,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,44.1,2,25,0,60365,0.837,567,6,0.317,66.28,0.238,0.938,0.714,33309,8640,122.62,0.593,1.667,2.682,117.323,0.006
reference-n1607,1607,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,44.1,3,25,0,60336,0.837,573,6,0.317,66.24,0.238,0.938,0.714,33280,8520,122.64,0.585,1.671,2.635,117.368,0.007
reference-n1607,1607,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,44.1,1,25,0,56766,0.801,624,51,0.32,66.28,0.227,0.924,0.714,29710,8640,122.69,0.615,1.653,2.732,117.271,0.006
reference-n1607,1607,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,44.1,2,25,0,56766,0.801,624,51,0.32,66.28,0.227,0.924,0.714,29710,8640,122.71,0.623,1.661,2.794,117.211,0.007
reference-n1607,1607,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,44.1,3,25,0,56759,0.801,626,51,0.32,66.28,0.227,0.924,0.714,29703,8640,122.74,0.663,1.663,2.756,117.248,0.006
area-26-n157,157,config,actual,spatial_term,actual,0,False,0.0,48.1,1,3,0,4962,0.877,456,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.13,0.007,0.02,0.043,119.957,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,False,0.0,48.1,2,3,0,4962,0.877,456,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.08,0.006,0.016,0.043,119.958,0.002
area-26-n157,157,config,actual,spatial_term,actual,0,False,0.0,48.1,3,3,0,4962,0.877,456,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.09,0.007,0.017,0.043,119.984,0.001
area-26-n157,157,config,actual+reseq,spatial_term,actual,0,True,0.0,48.1,1,3,0,4835,0.874,466,4,0.11,4.33,0.204,0.731,0.581,2452,2760,120.1,0.007,0.027,0.047,119.953,0.001
area-26-n157,157,config,actual+reseq,spatial_term,actual,0,True,0.0,48.1,2,3,0,4835,0.874,466,4,0.11,4.33,0.204,0.731,0.581,2452,2760,120.08,0.006,0.017,0.044,119.956,0.001
area-26-n157,157,config,actual+reseq,spatial_term,actual,0,True,0.0,48.1,3,3,0,4835,0.874,466,4,0.11,4.33,0.204,0.731,0.581,2452,2760,120.06,0.006,0.017,0.043,119.956,0.001
area-26-n157,157,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,48.1,1,3,0,8140,0.995,17,2,0.107,8.0,0.302,0.833,0.581,5757,3000,120.12,0.007,0.018,0.044,119.956,0.001
area-26-n157,157,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,48.1,2,3,0,8140,0.995,17,2,0.107,8.0,0.302,0.833,0.581,5757,3000,120.06,0.006,0.016,0.043,119.959,0.001
area-26-n157,157,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,48.1,3,3,0,8140,0.995,17,2,0.107,8.0,0.302,0.833,0.581,5757,3000,120.06,0.006,0.016,0.047,119.954,0.001
area-26-n157,157,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,48.1,1,3,0,5711,0.802,776,7,0.11,8.0,0.233,0.758,0.581,3328,3000,120.09,0.007,0.019,0.045,119.956,0.001
area-26-n157,157,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,48.1,2,3,0,5711,0.802,776,7,0.11,8.0,0.233,0.758,0.581,3328,3000,120.01,0.007,0.016,0.043,119.886,0.001
area-26-n157,157,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,48.1,3,3,0,5711,0.802,776,7,0.11,8.0,0.233,0.758,0.581,3328,3000,120.06,0.006,0.016,0.045,119.953,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,False,0.0,29.8,1,2,0,5738,1.0,0,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.09,0.002,0.006,0.016,119.984,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,False,0.0,29.8,2,2,0,5738,1.0,0,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.03,0.002,0.004,0.015,119.984,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,False,0.0,29.8,3,2,0,5738,1.0,0,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.07,0.002,0.004,0.014,119.985,0.001
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,1,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.06,0.002,0.007,0.016,119.984,0.0
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,2,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.03,0.002,0.004,0.014,119.984,0.0
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,3,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.03,0.002,0.004,0.014,119.984,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,1,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.1,0.002,0.006,0.015,120.02,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,2,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.03,0.002,0.004,0.015,119.986,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,3,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.04,0.002,0.004,0.014,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,1,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.06,0.002,0.007,0.015,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,2,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.03,0.002,0.004,0.014,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,3,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.02,0.002,0.004,0.014,119.985,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,1,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.06,0.001,0.004,0.007,93.993,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,2,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,3,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.01,0.001,0.002,0.006,93.984,0.0
area-29-n43,43,config,actual+reseq,spatial_term,actual,0,True,0.0,27.6,2,1,0,1024,1.0,0,6,0.0,0.0,0.166,0.573,0.478,636,2040,94.05,0.001,0.004,0.007,93.991,0.0
area-29-n43,43,config,actual+reseq,spatial_term,actual,0,True,0.0,27.6,3,1,0,1024,1.0,0,6,0.0,0.0,0.166,0.573,0.478,636,2040,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,1,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.06,0.001,0.004,0.007,93.992,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,2,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,3,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.02,0.001,0.002,0.006,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,1,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.05,0.001,0.004,0.008,93.991,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,2,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,3,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.02,0.001,0.002,0.006,93.996,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,1,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.06,0.001,0.005,0.009,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,2,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,104.99,0.001,0.002,0.008,104.956,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,3,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.008,104.987,0.0
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,1,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.06,0.001,0.005,0.009,104.991,0.001
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,2,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,3,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,1,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.005,0.01,104.989,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,2,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,3,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,1,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.05,0.001,0.005,0.009,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,2,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,3,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,1,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.07,0.003,0.009,0.022,119.977,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,2,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.05,0.003,0.007,0.02,119.978,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,3,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.05,0.003,0.007,0.02,119.979,0.001
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,1,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.09,0.003,0.01,0.022,119.977,0.002
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,2,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.04,0.004,0.007,0.023,119.976,0.001
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,3,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.08,0.003,0.007,0.021,119.978,0.0
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,1,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.11,0.004,0.012,0.028,119.995,0.001
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,2,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.06,0.003,0.007,0.022,119.98,0.0
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,3,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.04,0.003,0.007,0.022,119.978,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,1,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.07,0.003,0.009,0.022,119.977,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,2,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.04,0.003,0.007,0.021,119.979,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,3,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.06,0.003,0.007,0.021,119.979,0.001
