instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,1,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.14,0.01,0.028,0.064,119.935,0.001
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,2,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.025,0.061,119.939,0.001
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,3,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.025,0.06,119.939,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,1,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.13,0.01,0.028,0.062,119.937,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,2,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.09,0.009,0.025,0.06,119.94,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,3,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.11,0.009,0.026,0.061,119.959,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,1,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.14,0.01,0.028,0.063,119.936,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,2,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.08,0.009,0.025,0.061,119.939,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,3,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.09,0.009,0.025,0.06,119.94,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,1,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.13,0.01,0.029,0.065,119.934,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,2,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.07,0.009,0.026,0.064,119.923,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,3,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.08,0.009,0.026,0.063,119.936,0.001
battery-n400,400,config,actual,spatial_term,actual,0,False,0.0,46.7,1,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.28,0.039,0.105,0.203,119.799,0.002
battery-n400,400,config,actual,spatial_term,actual,0,False,0.0,46.7,2,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.23,0.044,0.1,0.199,119.801,0.002
battery-n400,400,config,actual,spatial_term,actual,0,False,0.0,46.7,3,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.25,0.038,0.101,0.203,119.796,0.003
battery-n400,400,config,actual+reseq,spatial_term,actual,0,True,0.0,46.7,1,7,0,13990,0.968,87,20,0.45,48.71,0.226,0.82,0.635,8472,3600,120.28,0.039,0.105,0.212,119.787,0.002
battery-n400,400,config,actual+reseq,spatial_term,actual,0,True,0.0,46.7,2,7,0,13990,0.968,87,20,0.45,48.71,0.226,0.82,0.635,8472,3600,120.24,0.038,0.102,0.201,119.799,0.002
battery-n400,400,config,actual+reseq,spatial_term,actual,0,True,0.0,46.7,3,7,0,13990,0.968,87,20,0.45,48.71,0.226,0.82,0.635,8472,3600,120.26,0.05,0.104,0.213,119.787,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,46.7,1,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.29,0.037,0.105,0.206,119.792,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,46.7,2,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.24,0.036,0.11,0.199,119.801,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,46.7,3,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.26,0.037,0.131,0.204,119.796,0.002
battery-n400,400,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,46.7,1,6,0,12222,0.82,616,30,0.29,50.17,0.203,0.929,0.741,6690,960,120.31,0.038,0.107,0.211,119.789,0.002
battery-n400,400,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,46.7,2,6,0,12222,0.82,616,30,0.29,50.17,0.203,0.929,0.741,6690,960,120.25,0.036,0.103,0.207,119.792,0.002
battery-n400,400,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,46.7,3,6,0,12222,0.82,616,30,0.29,50.17,0.203,0.929,0.741,6690,960,120.27,0.035,0.105,0.203,119.796,0.003
battery-n800,800,config,actual,spatial_term,actual,0,False,0.0,35.4,1,12,0,19725,0.851,663,29,0.492,66.83,0.17,0.893,0.741,10762,1200,120.86,0.177,0.426,0.765,119.238,0.005
battery-n800,800,config,actual,spatial_term,actual,0,False,0.0,35.4,2,12,0,19719,0.851,662,29,0.492,66.83,0.17,0.893,0.741,10756,1200,120.79,0.155,0.429,0.732,119.271,0.003
battery-n800,800,config,actual,spatial_term,actual,0,False,0.0,35.4,3,12,0,19662,0.851,622,29,0.492,66.92,0.17,0.892,0.741,10699,1200,120.73,0.155,0.407,0.73,119.272,0.003
battery-n800,800,config,actual+reseq,spatial_term,actual,0,True,0.0,35.4,1,12,0,19712,0.851,663,28,0.49,66.83,0.17,0.893,0.741,10749,1200,120.82,0.144,0.411,0.734,119.267,0.004
battery-n800,800,config,actual+reseq,spatial_term,actual,0,True,0.0,35.4,2,12,0,19760,0.851,625,28,0.49,66.83,0.171,0.893,0.741,10797,1200,120.76,0.156,0.419,0.741,119.259,0.004
battery-n800,800,config,actual+reseq,spatial_term,actual,0,True,0.0,35.4,3,12,0,19714,0.851,641,28,0.49,66.83,0.17,0.893,0.741,10751,1200,120.78,0.148,0.413,0.749,119.251,0.003
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,35.4,1,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.79,0.144,0.408,0.723,119.278,0.004
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,35.4,2,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.79,0.151,0.43,0.757,119.243,0.004
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,35.4,3,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.75,0.148,0.419,0.729,119.271,0.004
battery-n800,800,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,35.4,1,12,0,20134,0.84,554,31,0.48,63.42,0.173,0.896,0.741,11171,960,120.87,0.149,0.419,0.743,119.259,0.006
battery-n800,800,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,35.4,2,12,0,20134,0.84,554,31,0.48,63.42,0.173,0.896,0.741,11171,960,120.84,0.179,0.419,0.774,119.262,0.003
battery-n800,800,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,35.4,3,12,0,20134,0.84,554,31,0.48,63.42,0.173,0.896,0.741,11171,960,120.82,0.144,0.418,0.8,119.2,0.003
battery-n1000,1000,config,actual,spatial_term,actual,0,False,0.0,34.7,1,15,0,26615,0.838,503,56,0.543,80.73,0.182,0.905,0.741,15663,1560,121.16,0.23,0.649,1.116,118.888,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,False,0.0,34.7,2,15,0,26564,0.865,469,56,0.321,82.87,0.181,0.905,0.741,15612,1560,121.14,0.227,0.652,1.1,118.906,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,False,0.0,34.7,3,15,0,26615,0.838,503,56,0.543,80.73,0.182,0.905,0.741,15663,1560,121.12,0.229,0.642,1.119,118.882,0.005
battery-n1000,1000,config,actual+reseq,spatial_term,actual,0,True,0.0,34.7,1,15,0,25609,0.838,541,51,0.58,82.2,0.176,0.899,0.741,14657,1800,121.16,0.226,0.644,1.153,118.851,0.005
battery-n1000,1000,config,actual+reseq,spatial_term,actual,0,True,0.0,34.7,2,15,0,25597,0.851,482,51,0.54,80.73,0.176,0.899,0.741,14645,1560,121.16,0.241,0.639,1.116,118.887,0.004
battery-n1000,1000,config,actual+reseq,spatial_term,actual,0,True,0.0,34.7,3,15,0,25609,0.838,541,51,0.58,82.2,0.176,0.899,0.741,14657,1800,121.13,0.233,0.646,1.161,118.84,0.005
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,34.7,1,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.15,0.246,0.643,1.134,118.863,0.005
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,34.7,2,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.15,0.251,0.639,1.12,118.882,0.005
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,34.7,3,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.14,0.261,0.641,1.125,118.887,0.004
battery-n1000,1000,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,34.7,1,15,0,25714,0.833,619,49,0.36,66.53,0.176,0.9,0.741,14762,1800,121.19,0.224,0.641,1.132,118.871,0.006
battery-n1000,1000,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,34.7,2,15,0,25714,0.833,619,49,0.36,66.53,0.176,0.9,0.741,14762,1800,121.24,0.26,0.651,1.135,118.867,0.004
battery-n1000,1000,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,34.7,3,15,0,25714,0.833,619,49,0.36,66.53,0.176,0.9,0.741,14762,1800,121.14,0.237,0.654,1.107,118.895,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,False,0.0,85.8,1,5,0,15734,0.946,221,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.18,0.017,0.047,0.091,119.909,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,False,0.0,85.8,2,5,0,15734,0.946,221,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.12,0.016,0.039,0.084,119.916,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,False,0.0,85.8,3,5,0,15734,0.946,221,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.2,0.016,0.039,0.084,119.999,0.001
battery-sparse-n250,250,config,actual+reseq,spatial_term,actual,0,True,0.0,85.8,1,5,0,15682,0.941,230,3,0.13,37.4,0.343,0.846,0.556,7272,6000,120.16,0.015,0.043,0.093,119.908,0.001
battery-sparse-n250,250,config,actual+reseq,spatial_term,actual,0,True,0.0,85.8,2,5,0,15682,0.941,230,3,0.13,37.4,0.343,0.846,0.556,7272,6000,120.12,0.015,0.042,0.086,119.918,0.001
battery-sparse-n250,250,config,actual+reseq,spatial_term,actual,0,True,0.0,85.8,3,5,0,15682,0.941,230,3,0.13,37.4,0.343,0.846,0.556,7272,6000,120.12,0.015,0.04,0.087,119.917,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,85.8,1,5,0,17231,0.905,417,2,0.202,11.4,0.365,0.875,0.556,8821,6001,120.18,0.015,0.043,0.087,119.914,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,85.8,2,5,0,17231,0.905,417,2,0.202,11.4,0.365,0.875,0.556,8821,6001,120.12,0.015,0.039,0.084,119.918,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,85.8,3,5,0,17231,0.905,417,2,0.202,11.4,0.365,0.875,0.556,8821,6001,120.12,0.015,0.04,0.083,119.918,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,85.8,1,5,0,16054,0.886,487,6,0.2,11.4,0.349,0.853,0.556,7644,6000,120.17,0.017,0.043,0.091,119.911,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,85.8,2,5,0,16054,0.886,487,6,0.2,11.4,0.349,0.853,0.556,7644,6000,120.12,0.016,0.039,0.086,119.908,0.001
battery-sparse-n250,250,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,85.8,3,5,0,16054,0.886,487,6,0.2,11.4,0.349,0.853,0.556,7644,6000,120.12,0.017,0.04,0.083,119.918,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,False,0.0,56.9,1,9,0,23083,0.844,572,13,0.587,76.89,0.278,0.855,0.617,13641,5640,120.4,0.059,0.173,0.309,119.693,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,False,0.0,56.9,2,9,0,22983,0.829,587,12,0.587,76.89,0.277,0.854,0.617,13541,5640,120.34,0.057,0.158,0.297,119.704,0.003
battery-sparse-n500,500,config,actual,spatial_term,actual,0,False,0.0,56.9,3,9,0,22983,0.829,587,12,0.587,76.89,0.277,0.854,0.617,13541,5640,120.33,0.057,0.162,0.297,119.706,0.002
battery-sparse-n500,500,config,actual+reseq,spatial_term,actual,0,True,0.0,56.9,1,9,0,22095,0.814,647,17,0.59,76.89,0.269,0.845,0.617,12653,5640,120.4,0.058,0.165,0.304,119.698,0.003
battery-sparse-n500,500,config,actual+reseq,spatial_term,actual,0,True,0.0,56.9,2,9,0,22095,0.814,647,17,0.59,76.89,0.269,0.845,0.617,12653,5640,120.35,0.058,0.17,0.299,119.703,0.002
battery-sparse-n500,500,config,actual+reseq,spatial_term,actual,0,True,0.0,56.9,3,9,0,22095,0.814,647,17,0.59,76.89,0.269,0.845,0.617,12653,5640,120.32,0.056,0.16,0.295,119.695,0.002
battery-sparse-n500,500,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,56.9,1,8,0,20950,0.851,513,4,0.144,23.25,0.259,0.937,0.694,11488,1320,120.38,0.063,0.162,0.303,119.678,0.002
battery-sparse-n500,500,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,56.9,2,8,0,20950,0.851,513,4,0.144,23.25,0.259,0.937,0.694,11488,1320,120.34,0.065,0.159,0.298,119.703,0.002
battery-sparse-n500,500,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,56.9,3,8,0,20950,0.851,513,4,0.144,23.25,0.259,0.937,0.694,11488,1320,120.35,0.061,0.16,0.299,119.703,0.003
battery-sparse-n500,500,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,56.9,1,8,0,19604,0.854,454,19,0.14,25.0,0.246,0.921,0.694,10142,1200,120.4,0.062,0.165,0.315,119.686,0.002
battery-sparse-n500,500,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,56.9,2,8,0,19644,0.854,471,20,0.14,23.25,0.247,0.922,0.694,10182,1320,120.35,0.056,0.167,0.315,119.687,0.002
battery-sparse-n500,500,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,56.9,3,8,0,19644,0.854,471,20,0.14,23.25,0.247,0.922,0.694,10182,1320,120.35,0.056,0.163,0.303,119.698,0.003
